 Program: FIND Thu Jul 21 12:40:42 2022

 Threshold above background:   50.0
 Approximate FWHM:      3.50000
 Sharpness Limits: Low  0.20  High  1.00
 Roundness Limits: Low -1.00  High  1.00

 No of sources above threshold  5748
 No. of sources rejected by SHARPNESS criteria     439
 No. of sources rejected by ROUNDNESS criteria     760
 No. of sources rejected by CENTROID  criteria       7

             STAR       X       Y     FLUX     SHARP    ROUND
              128 1013.89   38.06   2959.8     0.40    -0.02
              129   85.64   39.63     54.3     0.29     0.35
              130  408.01   38.65     90.9     0.35     0.11
              131  714.70   39.41     79.7     0.37     0.09
              132  893.17   38.87     71.6     0.33     0.67
              133  958.26   38.52    108.6     0.45     0.13
              134  740.22   40.12     50.4     0.52    -0.66
              135  753.02   39.81     70.8     0.49     0.63
              136  886.79   39.91   1280.0     0.39     0.05
              137  928.28   39.17     59.6     0.36     0.56
              138  301.00   40.50    484.0     0.42     0.04
              139  357.89   40.46    734.5     0.46     0.13
              140  771.71   40.48   1128.1     0.43     0.16
              141  919.57   41.33     63.1     0.48     0.54
              142  141.71   42.40     57.3     0.50     0.11
              143  179.65   41.85    235.1     0.51    -0.11
              144  215.67   41.94     52.1     0.57    -0.93
              145  377.09   41.74     77.8     0.46     0.24
              146  609.31   42.85     50.5     0.26     0.88
              147  722.18   41.75    126.1     0.42    -0.27
              148  950.54   41.75     52.1     0.66    -0.83
              149  985.12   42.16     65.4     0.44    -0.62
              150    5.14   42.91     81.3     0.41     0.60
              151  154.49   43.18     69.2     0.50     0.62
              152  666.88   42.98    820.0     0.41     0.08
              153  935.28   43.01    674.1     0.41    -0.07
              154  945.35   42.87    133.5     0.46    -0.04
              155 1007.38   42.48    111.8     0.45    -0.00
              156  365.35   43.91    488.7     0.45    -0.18
              157  518.67   43.78     67.9     0.53    -0.14
              158  708.49   43.46     75.0     0.50    -0.44
              159 1015.31   43.64   1864.9     0.45    -0.01
              160   36.39   45.31     84.3     0.30     0.17
              161  310.08   44.56   3768.4     0.43     0.00
              162  391.30   43.98     61.4     0.49    -0.03
              163  713.94   44.38    214.5     0.50     0.29
              164  804.56   44.70     82.6     0.36    -0.42
              165  847.36   45.66     91.9     0.34     0.03
              166  474.28   45.43     63.6     0.54    -0.24
              167  736.88   45.99     52.0     0.29     0.36
              168  909.04   45.78     62.0     0.49    -0.10
              169  264.87   47.06     72.7     0.30     0.53
              170  396.32   46.80    106.2     0.45    -0.25
              171  489.88   47.03   6583.8     0.42     0.10
              172  851.18   46.25    200.3     0.47     0.21
              173  931.58   46.54     74.4     0.33    -0.16
              174  444.23   47.84    104.4     0.45    -0.27
              175  316.50   48.21     55.2     0.25     0.70
              176  336.77   48.72    175.8     0.57    -0.16
              177  683.29   48.96     59.5     0.40     0.10
              178   37.95   49.54    132.5     0.53    -0.47
              179  356.73   49.68   2766.0     0.47     0.01
              180  504.15   49.97     60.0     0.55    -0.56
              181  722.58   49.60    243.4     0.46     0.01
              182  757.77   50.00     74.4     0.38    -0.36
              183  585.95   51.08     67.8     0.49     0.41
              184  657.06   51.07    129.4     0.36     0.43
              185 1013.06   51.47    575.0     0.41    -0.01
              186   52.02   53.32     66.6     0.43    -0.48
              187   90.08   52.53     63.3     0.38     0.28
              188  599.12   52.97    319.2     0.39     0.00
              189  617.24   52.54    316.8     0.43     0.18
              190  622.73   52.98    144.8     0.52     0.24
              191  798.83   53.16    144.8     0.43     0.18
              192  219.79   53.53   2927.9     0.46     0.04
              193  236.32   53.41     78.2     0.52    -0.06
              194  390.91   53.76    233.7     0.50    -0.44
              195  738.03   53.77     53.6     0.45     0.62
              196  941.52   54.40     96.0     0.41     0.02
              197  266.66   55.69    131.9     0.47    -0.12
              198  989.93   55.85     95.9     0.38    -0.20
              199  144.89   56.90    103.1     0.41    -0.01
              200  516.21   57.12    375.7     0.36    -0.00
              201  646.99   57.45    119.7     0.38     0.23
              202  689.85   56.87   1105.9     0.43     0.10
              203  462.87   58.04    155.3     0.39    -0.02
              204  476.47   58.16     70.2     0.53    -0.09
              205  518.80   57.81    113.1     0.46    -0.70
              206  616.79   57.73     51.4     0.22    -0.05
              207   72.38   59.23    310.3     0.41     0.05
              208  160.84   60.22   1782.2     0.39     0.18
              209  311.82   59.80     83.3     0.54     0.06
              210  599.80   59.60     84.3     0.43     0.55
              211  756.84   60.07     85.4     0.27     0.00
              212  281.74   60.89    340.0     0.42    -0.03
              213  711.77   60.66    178.3     0.41     0.10
              214  750.95   61.04    109.2     0.41     0.04
              215  339.84   62.13    261.8     0.41     0.18
              216  550.95   61.85    803.7     0.45     0.10
              217  563.78   62.14     68.0     0.37     0.00
              218  630.47   60.93     55.8     0.44     0.61
              219  848.10   61.89     82.0     0.39    -0.32
              220  981.90   62.00     76.3     0.32     0.24
              221  183.65   64.43     77.4     0.42    -0.31
              222  222.46   63.19     92.6     0.37     0.12
              223  599.02   63.04    194.5     0.58     0.69
              224  781.68   63.02    114.7     0.29     0.01
              225  331.49   64.20    109.6     0.41     0.39
              226  581.05   63.95     86.3     0.43    -0.78
              227 1001.70   64.15     61.3     0.45    -0.05
              228  658.15   64.85    187.3     0.42     0.01
              229   69.69   65.95     81.9     0.40     0.23
              230  185.70   65.62    151.8     0.48    -0.42
              231  390.06   65.84    305.0     0.40    -0.04
              232  437.23   65.56     86.8     0.37    -0.11
              233  505.02   65.47    108.7     0.35     0.26
              234  697.81   65.65    225.4     0.45     0.05
              235  798.00   65.38     64.3     0.28    -0.23
              236  887.68   65.94    278.1     0.39    -0.19
              237  923.94   65.88   3207.9     0.42     0.02
              238  954.73   65.73    125.4     0.42    -0.02
              239  453.78   66.48    211.4     0.55     0.31
              240  593.55   66.86    973.9     0.42     0.01
              241  622.00   67.06    137.4     0.40     0.15
              242  730.28   68.20     60.9     0.54     0.60
              243  962.93   67.06    246.7     0.43     0.01
              244  145.71   67.96   4278.7     0.43     0.02
              245  642.14   67.76     50.0     0.37     0.59
              246  714.89   67.61    750.9     0.43     0.22
              247  908.15   68.41     52.2     0.39     0.51
              248  710.83   69.15     51.8     0.44    -0.66
              249  805.17   69.11     68.4     0.32     0.28
              250  996.51   68.52    134.0     0.45    -0.08
              251  264.99   70.09    447.4     0.37    -0.02
