 Program: FIND Thu Jul 21 12:40:42 2022

 Threshold above background:   50.0
 Approximate FWHM:      3.50000
 Sharpness Limits: Low  0.20  High  1.00
 Roundness Limits: Low -1.00  High  1.00

 No of sources above threshold  5748
 No. of sources rejected by SHARPNESS criteria     439
 No. of sources rejected by ROUNDNESS criteria     760
 No. of sources rejected by CENTROID  criteria       7

             STAR       X       Y     FLUX     SHARP    ROUND
              743  743.77  175.25     50.6     0.32     0.02
              744  695.61  175.80  18105.7     0.45    -0.08
              745  139.53  176.80    299.0     0.48    -0.05
              746  234.57  177.07     50.8     0.43    -0.15
              747  321.86  177.28    146.5     0.45     0.07
              748  339.96  176.38     90.3     0.33     0.24
              749  348.86  176.70    502.1     0.46    -0.09
              750   21.89  177.86    871.3     0.35     0.03
              751  151.77  179.11     62.3     0.46     0.16
              752  373.98  178.19     52.8     0.33     0.24
              753  482.13  177.92    187.3     0.39     0.01
              754  866.21  178.08     77.9     0.42    -0.30
              755  960.09  177.80     53.7     0.47    -0.14
              756 1006.38  177.83    175.1     0.44    -0.26
              757  493.73  178.69    150.9     0.47    -0.01
              758  509.75  179.22   6920.7     0.42     0.07
              759  547.09  178.87     60.5     0.38     0.27
              760  677.98  178.92    501.6     0.43     0.08
              761  730.05  179.31     50.8     0.36     0.31
              762  735.70  178.65     77.7     0.46    -0.17
              763  196.84  180.09    135.0     0.40    -0.10
              764  209.59  179.52     68.7     0.34    -0.63
              765  566.11  180.08     50.7     0.48    -0.41
              766  636.23  179.33     53.4     0.51    -0.78
              767  206.34  181.00     56.6     0.28    -0.64
              768  401.88  180.91   8181.8     0.45    -0.03
              769  786.15  181.02   8382.9     0.43     0.00
              770  870.69  180.95    975.0     0.43    -0.17
              771  997.20  180.77     84.4     0.46     0.22
              772   47.47  181.55     61.0     0.57    -0.29
              773   63.14  181.92     60.6     0.34     0.14
              774  908.21  182.14     74.5     0.37     0.28
              775 1002.86  181.77     51.6     0.42    -0.90
              776  718.93  183.19    992.5     0.42     0.06
              777  760.91  183.03    121.6     0.42    -0.13
              778  767.76  182.89    168.0     0.48    -0.03
              779  831.38  182.73    951.5     0.44    -0.11
              780  127.69  183.85   5960.6     0.43    -0.12
              781  414.33  183.73    474.8     0.44    -0.01
              782  642.17  183.94    138.8     0.43    -0.11
              783  523.89  184.98    108.1     0.33    -0.48
              784  539.60  185.14     73.8     0.50    -0.71
              785  854.67  184.95     53.1     0.34    -0.21
              786  879.35  184.78    611.1     0.45    -0.12
              787  940.60  184.94     79.9     0.46    -0.16
              788  106.03  185.46     54.0     0.39     0.56
              789  244.33  185.60    217.9     0.48    -0.37
              790  276.83  185.71     74.5     0.45    -0.40
              791  283.29  185.85    117.7     0.47    -0.11
              792  331.26  186.07    160.9     0.35    -0.02
              793  363.77  185.41   1201.2     0.48     0.18
              794  972.42  185.72     62.8     0.53    -0.10
              795  729.71  186.78     59.2     0.51     0.34
              796  898.97  186.83     82.5     0.42     0.21
              797  157.50  187.95    151.8     0.50     0.20
              798  305.69  187.73    162.3     0.47    -0.16
              799  368.55  187.68     60.4     0.64    -0.28
              800  398.74  187.56   1093.4     0.49     0.10
              801  531.86  187.18     67.7     0.46     0.61
              802  652.97  187.47     77.4     0.44     0.45
              803  114.56  189.26     59.0     0.31    -0.47
              804  259.94  188.80     67.6     0.39    -0.68
              805  340.21  188.46    147.3     0.43     0.17
              806  408.44  188.77     65.4     0.31    -0.46
              807  497.69  188.67     71.8     0.24    -0.11
              808  659.97  188.86    325.5     0.45     0.12
              809  573.62  189.70   1005.6     0.47    -0.02
              810  914.45  189.62   1469.8     0.45    -0.09
              811  427.90  190.80     53.4     0.41     0.21
              812  678.05  191.17   3995.9     0.42     0.10
              813  803.23  191.26    285.0     0.43     0.14
              814  555.07  191.85     77.1     0.48     0.19
              815  713.71  192.43     64.1     0.31     0.65
              816  988.02  191.57    177.1     0.40     0.23
              817   49.87  192.96     85.1     0.44     0.22
              818  934.85  193.42     52.3     0.49     0.86
              819  159.67  193.92    108.6     0.43     0.16
              820  474.95  193.71     96.6     0.44    -0.69
              821  735.73  194.01    139.0     0.41    -0.30
              822  882.13  193.79     58.3     0.33    -0.48
              823   23.79  195.25    121.9     0.35    -0.21
              824  215.39  195.12    166.4     0.37    -0.30
              825  644.43  194.99     65.4     0.33     0.37
              826  672.09  194.93     54.0     0.42    -0.58
              827  566.73  196.06    212.4     0.41     0.04
              828  711.19  195.99    423.5     0.44    -0.07
              829  865.93  195.76    126.3     0.46    -0.13
              830  911.25  195.97     59.5     0.45     0.17
              831 1002.51  195.63    108.7     0.46    -0.41
              832   45.83  196.25     79.2     0.26    -0.04
              833  268.95  196.78     78.5     0.45    -0.72
              834  344.82  196.62    267.7     0.38    -0.01
              835  403.98  197.52     57.2     0.42     0.28
              836  596.01  196.87     50.9     0.47     0.25
              837  952.00  196.80    186.2     0.41    -0.17
              838  517.56  198.23     82.5     0.39     0.31
              839  545.89  198.07     84.9     0.37     0.79
              840  773.90  198.10     69.7     0.36     0.16
              841  153.79  199.17     54.6     0.49    -0.35
              842  194.48  198.80    212.0     0.40    -0.27
              843  326.68  199.12     74.9     0.31     0.43
              844  935.75  199.08    840.1     0.41    -0.17
              845   77.55  199.96     66.3     0.25    -0.59
              846  479.83  199.57    267.5     0.49     0.04
              847  492.42  199.81    109.1     0.44    -0.05
              848  558.50  199.95     75.6     0.34    -0.47
              849  651.92  200.37    128.6     0.42     0.07
              850  661.56  199.93    414.1     0.44    -0.13
              851  668.86  199.50    124.4     0.43     0.12
              852  675.17  200.21     93.1     0.44    -0.22
              853  687.32  200.33     57.1     0.36    -0.18
              854  730.91  199.98    112.6     0.42    -0.22
              855  995.95  200.13    158.1     0.44    -0.34
              856  167.80  202.45     57.9     0.37     0.73
              857  349.69  201.21     86.1     0.38    -0.34
              858  371.99  201.07    690.7     0.42    -0.11
              859  434.94  200.77     82.9     0.37     0.06
              860  537.12  200.72    133.9     0.39     0.01
              861  694.77  201.26     87.7     0.46     0.46
              862   85.16  201.97    356.6     0.44    -0.20
              863  218.92  202.18     67.8     0.35    -0.17
              864  250.86  201.80    166.1     0.42    -0.15
              865  380.97  202.07     68.5     0.36     0.29
              866  816.96  201.97     59.4     0.43    -0.21
              867  841.90  201.87     96.8     0.41    -0.14
              868   15.75  202.57    689.9     0.40    -0.09
              869   22.84  202.81     64.9     0.33    -0.54
              870  278.46  203.38     75.0     0.42     0.02
              871  347.22  202.36     63.0     0.39    -0.80
              872  449.78  203.17     75.3     0.35    -0.39
              873  508.06  202.64     71.9     0.56     0.06
              874  642.97  202.78    448.4     0.44     0.09
              875  773.10  203.04     67.5     0.48    -0.03
              876   87.97  203.56    180.1     0.49    -0.52
              877  609.18  203.95    390.8     0.40     0.08
              878  655.58  203.59     59.3     0.37     0.17
              879  788.71  203.57     65.8     0.50    -0.00
              880  168.37  204.97    114.4     0.46     0.03
              881  189.71  204.91     70.4     0.39    -0.38
              882  444.11  204.72     73.2     0.55     0.18
              883  566.50  204.80    382.4     0.46    -0.15
              884  576.59  204.80     55.5     0.55     0.43
              885  693.91  204.74    136.9     0.47     0.46
              886  925.15  204.92     58.9     0.51    -0.26
              887   79.49  205.75     54.9     0.45    -0.36
              888  427.70  205.82    157.4     0.46     0.26
              889  458.02  205.46     75.3     0.46     0.16
              890  635.32  206.30     50.8     0.49     0.04
              891  704.70  206.22    110.0     0.36    -0.11
              892  769.22  206.84    211.4     0.43     0.03
              893  185.19  207.66    297.6     0.47    -0.19
              894  246.52  207.89     83.4     0.38    -0.34
              895  408.38  208.36    104.7     0.37    -0.21
              896  257.51  208.83     50.8     0.44     0.19
              897  287.96  209.34     56.7     0.47     0.51
              898  424.08  209.18    135.5     0.39     0.08
              899  548.67  208.67    183.9     0.51     0.09
              900  639.95  209.05    139.1     0.39     0.45
              901  664.75  208.78    229.5     0.40     0.27
              902  711.35  208.90     59.3     0.54    -0.97
              903  695.88  209.94    177.0     0.38    -0.11
              904  757.21  209.86  11944.3     0.46    -0.04
              905  941.49  209.01     61.4     0.52     0.48
              906  337.89  210.82     58.6     0.59    -0.36
              907  600.70  210.75     75.9     0.40     0.73
              908  731.78  211.24     79.7     0.34     0.39
              909  644.34  212.41     59.0     0.50     0.29
              910  668.15  212.48     74.7     0.46    -0.18
              911  266.36  212.95    107.2     0.37    -0.25
              912  569.80  212.65   1286.8     0.45     0.19
              913  621.36  213.04     69.3     0.52    -0.17
              914  148.62  213.87    239.3     0.46    -0.08
              915  177.51  213.54     80.9     0.43    -0.14
              916  477.01  213.54    123.2     0.38     0.26
              917  614.15  213.81    208.4     0.45    -0.01
              918   95.22  215.07     80.3     0.45    -0.16
              919  633.48  215.02     67.1     0.41    -0.55
              920  641.15  215.02    601.2     0.40     0.03
              921  173.13  215.86     97.4     0.45     0.30
              922  508.11  215.70     61.1     0.53    -0.09
              923  344.81  216.73    224.8     0.51     0.21
              924  669.26  216.55     54.4     0.40     0.78
              925  775.70  216.78    111.9     0.38    -0.31
              926  978.42  216.21     81.8     0.43     0.10
              927  269.62  217.96     74.8     0.20    -0.68
              928  272.60  217.84    101.0     0.34    -0.70
              929  426.23  217.92    118.8     0.38    -0.34
              930  759.71  218.20     51.0     0.47     0.19
              931  822.10  217.63    116.9     0.44    -0.11
              932  952.19  218.15    280.6     0.43    -0.11
              933  304.57  219.06     94.6     0.34     0.23
              934  475.39  219.37     77.5     0.49     0.01
              935  547.14  219.03     63.6     0.33    -0.24
              936  260.40  220.03    536.5     0.46    -0.20
              937  432.97  219.93    208.9     0.38    -0.20
              938  696.81  219.72    894.0     0.43     0.03
              939  177.77  221.22    248.9     0.43    -0.15
              940  194.03  221.01     51.3     0.39     0.27
              941  371.82  220.48     69.5     0.49    -0.36
              942  439.82  221.01    759.8     0.44    -0.01
              943  605.13  220.40    152.9     0.44     0.22
              944  739.44  221.07     56.0     0.39    -0.55
              945  869.01  221.18     54.8     0.35    -0.02
              946  221.84  221.57    346.8     0.45    -0.49
              947  277.74  222.39    117.8     0.39     0.22
              948  615.57  221.92    310.4     0.42    -0.20
              949  809.82  221.38     60.8     0.52     0.41
              950  937.13  222.37     53.5     0.48    -0.11
              951  170.65  222.89   1237.7     0.45    -0.12
              952  384.96  222.60    114.1     0.44    -0.07
              953  502.70  224.03     59.0     0.56    -0.05
              954  611.29  223.33    265.1     0.44     0.39
              955   22.83  224.65    103.9     0.44    -0.05
              956  114.65  224.64    139.8     0.46    -0.40
              957  464.21  224.92    135.6     0.32    -0.29
              958  543.95  225.28     77.2     0.45     0.16
              959  645.63  225.18    934.2     0.44    -0.06
              960  271.83  225.64    268.2     0.48    -0.02
              961  396.53  225.76     57.1     0.54     0.02
              962  422.95  225.77    231.8     0.44    -0.07
              963  431.92  226.05     54.7     0.44    -0.66
              964  861.33  225.89     77.7     0.44     0.02
              965  902.19  226.11    282.3     0.41    -0.09
              966  905.50  225.96     81.8     0.45    -0.79
              967  438.83  226.76    323.7     0.45    -0.02
              968  470.89  226.82    126.4     0.42    -0.50
              969  629.90  227.19     73.4     0.53     0.51
              970  782.37  226.50     50.0     0.51     0.67
              971  791.20  227.24    200.0     0.46    -0.07
              972  178.02  228.07    128.3     0.45     0.05
              973  305.50  227.83    105.4     0.42     0.30
              974  591.16  227.69    238.4     0.46     0.12
              975  802.24  228.15     80.0     0.40     0.10
              976  822.07  228.36     89.2     0.34    -0.11
              977  991.44  227.86    148.6     0.39     0.06
              978  917.72  229.08    187.0     0.41    -0.03
              979  137.81  230.12     56.5     0.31    -0.56
              980  340.06  229.76   1053.7     0.42    -0.08
              981  373.85  229.90    423.5     0.47    -0.10
              982  516.93  230.10   2444.6     0.39     0.13
              983  567.70  230.22    655.5     0.44     0.01
              984  956.60  230.12    160.9     0.44    -0.34
              985  617.40  231.02     86.8     0.41    -0.07
              986  950.82  231.08    889.4     0.40    -0.11
              987  430.83  232.33     69.7     0.53     0.21
              988  550.73  232.14    619.7     0.43     0.00
              989  601.94  231.75    174.3     0.52     0.09
              990  378.58  232.74     85.4     0.33    -0.38
              991  507.55  233.09   2621.5     0.44    -0.14
              992  619.46  232.42     55.4     0.32    -0.72
              993  848.77  232.91    100.7     0.46     0.15
              994   48.03  234.07     77.4     0.43     0.75
              995  278.04  233.50     92.6     0.42    -0.59
              996  307.81  233.62    374.8     0.49     0.02
              997  368.30  234.31     63.5     0.53     0.26
              998  644.12  234.07    190.7     0.42    -0.07
              999  700.24  234.20    446.3     0.39     0.07
             1000  760.74  233.68     90.3     0.44    -0.24
             1001  887.18  235.27    839.7     0.39     0.05
             1002  935.12  235.15     93.0     0.40    -0.74
             1003   10.50  235.89     74.7     0.43    -0.36
             1004  246.41  236.49     65.8     0.48    -0.24
             1005  741.13  235.88     73.4     0.42    -0.43
             1006  931.09  235.75     71.5     0.50     0.13
             1007  430.14  237.72     71.1     0.32     0.59
             1008  439.07  236.36     67.9     0.37     0.91
             1009  494.83  236.59    164.7     0.47     0.15
             1010  873.42  237.14     81.0     0.39    -0.31
             1011  537.75  238.11   4384.5     0.44     0.00
             1012  571.29  237.53    109.2     0.37     0.05
             1013  629.86  238.15     57.0     0.36     0.64
             1014  664.60  237.80   3037.1     0.47    -0.14
             1015  162.72  238.59     67.4     0.51    -0.28
             1016  275.14  238.86     78.3     0.34    -0.16
             1017  337.61  238.49    165.6     0.39     0.13
             1018  579.00  239.21   2746.6     0.41     0.10
             1019  618.15  239.33     77.7     0.42     0.37
             1020  685.81  239.48    205.8     0.48     0.18
             1021  708.23  238.61     68.5     0.44    -0.23
             1022  223.74  239.87     65.2     0.53    -0.19
             1023  419.94  239.94    387.0     0.45     0.01
             1024  456.74  239.82    123.4     0.54     0.11
             1025  551.89  239.59     62.7     0.38     0.37
             1026  748.16  239.69   1690.6     0.46     0.07
             1027  820.01  240.14    110.2     0.36     0.14
             1028  900.16  239.63     96.3     0.47     0.49
             1029  130.42  240.97    153.5     0.48    -0.14
             1030  391.52  240.78     96.8     0.56    -0.19
             1031  992.93  240.85    156.3     0.45    -0.16
             1032  111.29  242.54     52.2     0.47     0.03
             1033  322.73  242.29     95.4     0.46     0.16
             1034  398.89  242.02     58.9     0.64    -0.00
             1035  682.25  241.77    670.0     0.46    -0.02
             1036  766.94  242.09    136.3     0.43    -0.09
             1037  827.88  242.38     85.8     0.48    -0.26
             1038  317.03  242.87    235.2     0.38    -0.21
             1039  472.65  242.87   6983.8     0.48    -0.11
             1040  657.23  242.96     51.0     0.30    -0.00
             1041  735.96  242.87    469.3     0.44     0.23
             1042  158.17  244.31    741.5     0.38    -0.17
             1043  513.33  243.88    220.1     0.33     0.06
             1044  687.69  243.92    100.3     0.46    -0.11
             1045  700.22  244.13    326.2     0.36     0.01
             1046  247.06  244.09     95.7     0.38     0.07
             1047  641.33  244.90     57.8     0.66    -0.31
             1048  715.70  244.79    435.0     0.44    -0.10
             1049   90.72  245.95     67.3     0.34     0.04
             1050  368.07  246.07     51.0     0.44     0.78
             1051  841.76  247.91     53.9     0.30    -0.83
             1052  875.75  246.80     52.8     0.42    -0.51
             1053  949.93  246.91    204.1     0.45    -0.01
             1054   45.89  248.17   7123.0     0.38     0.00
             1055  666.11  248.39     73.4     0.43     0.32
             1056  693.39  247.32     64.4     0.33     0.04
             1057  809.91  248.41     97.2     0.35     0.02
             1058  818.91  248.11    156.2     0.42     0.01
             1059  836.10  247.32     58.2     0.48     0.13
             1060  849.72  247.61    114.2     0.46     0.12
             1061  222.99  248.65    106.2     0.42    -0.20
             1062  383.85  248.96     78.2     0.46    -0.27
             1063  395.35  249.41     50.4     0.39     0.82
             1064  441.80  248.75     74.7     0.62     0.35
             1065  603.71  248.74     64.0     0.52     0.65
             1066  614.79  248.26     85.7     0.45     0.59
             1067  194.43  249.85    137.5     0.51    -0.27
             1068  264.60  249.63     70.8     0.59     0.13
             1069  338.56  249.69    135.7     0.47    -0.04
             1070  661.09  250.16     63.7     0.36     0.02
             1071  864.80  249.73    120.9     0.45    -0.23
             1072  960.08  250.12     91.6     0.49     0.03
             1073  137.77  251.00    114.7     0.42     0.09
             1074  161.18  251.34     57.7     0.39    -0.60
             1075  298.99  251.04     98.7     0.46    -0.18
             1076  723.02  250.61     63.8     0.49    -0.12
             1077  894.94  251.06    254.6     0.43    -0.03
             1078  437.77  252.03     58.2     0.37    -0.09
             1079  493.06  251.41    316.0     0.41     0.12
             1080  425.67  252.97     57.4     0.50     0.01
             1081  457.04  252.98   4481.7     0.43    -0.04
             1082  847.67  252.96    861.3     0.43    -0.12
             1083  931.04  253.08   1351.0     0.43    -0.06
             1084  399.03  253.92   1020.9     0.39    -0.07
             1085  685.22  254.10    110.1     0.39    -0.14
             1086  812.31  254.12    559.4     0.45    -0.08
             1087  155.58  254.86    814.3     0.46    -0.14
             1088  184.71  255.21     89.8     0.42    -0.11
             1089  320.95  254.89  13937.2     0.43    -0.13
             1090  337.01  254.00     51.6     0.74     0.26
             1091  387.71  254.50     61.8     0.60     0.23
             1092  606.74  255.06    333.9     0.42    -0.16
             1093  640.16  255.20    136.1     0.32     0.05
             1094  704.20  255.86     60.9     0.33     0.87
             1095  417.13  255.92     52.2     0.36    -0.80
             1096  443.66  256.79     52.3     0.28    -0.07
             1097  585.30  256.32     50.6     0.27     0.08
             1098  219.13  256.68     56.1     0.37     0.22
             1099  749.45  257.26     70.4     0.40    -0.30
             1100  159.76  257.65     70.7     0.31    -0.27
             1101  329.28  258.06     86.7     0.33    -0.24
             1102  345.27  257.49    271.4     0.40    -0.21
             1103  556.03  257.93    179.2     0.48     0.06
             1104  623.42  257.74     52.3     0.33    -0.33
             1105  646.61  257.78    206.9     0.50    -0.06
             1106  701.97  258.10    423.3     0.41     0.04
             1107  797.73  258.06    142.9     0.42    -0.14
             1108  918.19  257.67    268.0     0.44     0.01
             1109  455.09  258.63    653.3     0.44     0.02
             1110  569.68  259.26     93.2     0.33    -0.05
             1111  654.06  259.11    265.5     0.40     0.22
             1112  729.91  258.95    178.6     0.44    -0.04
             1113  768.81  259.03    317.8     0.47    -0.05
             1114  365.11  259.65    188.4     0.32    -0.18
             1115  532.09  259.89    112.5     0.40     0.36
             1116  601.72  259.77  17293.1     0.50    -0.04
             1117  873.01  260.11   1131.8     0.41    -0.02
             1118  905.29  259.71     91.0     0.41    -0.02
             1119  201.15  260.80     50.6     0.45     0.19
             1120  295.56  262.96    164.4     0.44    -0.29
             1121  376.00  263.15    177.5     0.46    -0.19
             1122  407.78  262.66     70.6     0.57    -0.35
             1123  993.08  263.56    135.0     0.42     0.21
             1124  588.04  263.74    124.1     0.46     0.01
             1125  824.18  265.14     51.0     0.39     0.69
             1126  978.79  264.56     65.9     0.38     0.51
             1127   58.83  264.64    403.9     0.43    -0.14
             1128  235.00  265.24     78.4     0.61     0.42
             1129  662.58  264.69    103.1     0.33     0.12
             1130  694.11  264.98    331.7     0.38    -0.00
             1131  853.79  264.59     70.0     0.48     0.44
             1132  938.25  264.74    223.9     0.45     0.04
             1133  157.35  266.18     56.0     0.36    -0.35
             1134  181.50  265.79     67.0     0.49    -0.16
             1135  470.16  265.92    156.2     0.43    -0.19
             1136  564.94  266.13    239.7     0.44     0.04
             1137  764.92  266.31     53.0     0.45     0.84
             1138  395.88  267.13    483.4     0.44    -0.06
             1139  496.88  266.43    155.6     0.48     0.18
             1140  573.05  266.56     77.9     0.46     0.69
             1141  791.78  267.16    841.7     0.39    -0.01
             1142  886.96  266.82     61.4     0.38     0.24
             1143    9.48  268.02     65.1     0.29    -0.52
             1144  685.09  267.79    102.4     0.46    -0.14
             1145  207.66  269.10    100.7     0.52    -0.30
             1146  343.97  268.22    110.6     0.35     0.01
             1147  450.81  269.13    232.8     0.37     0.10
             1148  720.16  269.14    435.1     0.45     0.02
             1149  257.35  270.03     53.4     0.26    -0.70
             1150  362.80  270.17    103.4     0.40    -0.11
             1151  702.77  270.26   3390.8     0.44     0.06
             1152  729.40  269.47     68.5     0.48     0.05
             1153  778.69  269.91     53.9     0.39     0.23
             1154  816.90  269.61   3452.9     0.47     0.10
             1155  411.89  271.01    286.0     0.43    -0.04
             1156  585.88  270.80     64.9     0.36    -0.51
             1157  963.23  270.77     62.8     0.53    -0.18
             1158  556.71  271.72   2684.8     0.50    -0.03
             1159  623.89  271.98    103.3     0.39     0.87
             1160  676.90  272.20    277.7     0.41     0.15
             1161  316.56  273.39     55.5     0.36    -0.40
             1162  357.16  272.96    150.0     0.42    -0.26
             1163  604.81  273.21    290.9     0.41     0.20
             1164  735.14  273.32     93.8     0.41     0.22
             1165  940.18  273.18    212.8     0.40    -0.05
             1166   91.84  273.83     70.5     0.42    -0.07
             1167  636.84  274.10     58.3     0.38    -0.03
             1168  872.02  274.20    241.8     0.40     0.05
             1169  175.76  275.42    117.6     0.33     0.11
             1170  419.19  274.89    181.3     0.41     0.04
             1171  527.77  274.95     90.6     0.29     0.05
             1172  616.27  274.75    286.9     0.41    -0.18
             1173  715.95  274.57     60.3     0.52     0.52
             1174   64.49  276.07     59.7     0.44    -0.03
             1175  321.62  275.43     60.2     0.46     0.33
             1176  855.68  276.26   1097.5     0.40    -0.07
             1177  196.94  277.10    121.0     0.29     0.06
             1178  260.91  277.35    383.2     0.38     0.07
             1179  273.40  277.13     76.9     0.42    -0.13
             1180 1003.15  277.07    165.5     0.43    -0.18
             1181  775.96  278.21     77.4     0.37    -0.31
             1182  974.16  277.14     76.8     0.51     0.54
             1183  351.14  278.92     67.5     0.42     0.09
             1184  669.09  278.80     85.6     0.44     0.23
             1185  703.08  278.95     62.9     0.43    -0.07
             1186  882.94  278.63    188.2     0.42    -0.00
             1187  301.54  280.01    181.7     0.39    -0.11
             1188  358.86  280.16     63.6     0.35    -0.34
             1189  406.09  279.59     52.8     0.65    -0.05
             1190  661.84  279.77    616.1     0.47     0.08
             1191  690.61  280.06    806.3     0.45    -0.19
             1192   58.22  280.91    182.3     0.40    -0.36
             1193  369.75  281.19    777.8     0.43    -0.08
             1194  608.10  280.92     53.8     0.49     0.85
             1195  757.28  281.20  46783.1     0.42    -0.06
             1196  313.05  282.05    126.8     0.36     0.07
             1197  596.14  281.71     57.6     0.31    -0.82
             1198  673.59  282.33     56.1     0.35     0.28
             1199  955.98  281.99    124.6     0.43     0.33
             1200  265.89  282.48    214.9     0.42    -0.19
             1201  474.04  282.76     76.6     0.28     0.06
             1202  997.21  283.10     82.4     0.34    -0.41
             1203  116.44  284.91     51.4     0.22     0.29
             1204  260.46  285.00   3388.1     0.46    -0.24
             1205  792.76  285.24    152.4     0.38     0.22
             1206  951.32  285.37     53.0     0.48    -0.17
             1207  175.11  286.00     55.2     0.39    -0.57
             1208  625.32  286.19     89.5     0.48    -0.12
             1209  740.21  285.85     53.7     0.42     0.11
             1210  875.13  285.99    135.1     0.47    -0.04
             1211  236.51  286.84    450.7     0.44    -0.12
             1212  699.84  286.96     95.9     0.38    -0.32
             1213  770.16  286.76    877.3     0.47     0.08
             1214   92.26  288.27     60.5     0.55     0.48
             1215  267.25  288.08     71.2     0.46    -0.45
             1216  270.25  287.42     67.0     0.48    -0.25
             1217  319.74  288.63     77.4     0.22     0.59
             1218  367.48  288.50     73.5     0.55    -0.09
             1219  429.20  287.54     66.3     0.31     0.53
             1220  915.80  287.48     63.1     0.52     0.76
             1221   36.73  289.09    184.3     0.37     0.01
             1222  112.96  288.79    238.3     0.41    -0.19
             1223  204.60  289.14     80.6     0.31     0.08
             1224  639.77  288.98    171.6     0.47    -0.07
             1225  720.97  289.01  16441.3     0.48    -0.03
             1226  473.67  290.41    181.2     0.44    -0.15
             1227  483.09  289.74    106.7     0.52    -0.07
             1228  486.93  289.78     72.0     0.56    -0.67
             1229  865.06  289.87     95.1     0.43    -0.27
             1230  340.91  291.07    650.4     0.43    -0.08
             1231  566.47  290.96    107.1     0.43    -0.45
             1232  780.93  291.41     50.4     0.38    -0.52
             1233  881.64  291.28   1518.5     0.41    -0.11
             1234  911.86  291.03    164.8     0.45     0.09
             1235  120.71  291.87     66.1     0.23     0.25
             1236  142.70  291.86     77.2     0.44     0.08
             1237  288.20  291.75     59.7     0.37    -0.30
             1238  368.03  291.97    119.9     0.40    -0.01
             1239  407.90  292.66     55.3     0.32    -0.22
             1240  696.24  291.60    115.0     0.41     0.23
             1241  162.01  292.53    193.3     0.39    -0.15
             1242  677.11  292.15     51.4     0.47     0.87
             1243  868.03  293.06     62.4     0.33     0.84
             1244  314.87  294.20     78.3     0.47    -0.23
             1245  330.44  294.31     58.5     0.49    -0.15
             1246  377.65  293.90     74.9     0.59    -0.08
             1247  428.06  295.24     62.8     0.25    -0.26
             1248  635.87  294.92    605.6     0.50    -0.09
             1249  202.40  296.03     90.0     0.45    -0.07
             1250  328.69  295.55     64.5     0.64     0.85
             1251  440.91  296.41    288.4     0.46     0.17
             1252  470.62  296.16    257.1     0.50     0.02
             1253  847.24  296.35    127.0     0.37     0.30
             1254  989.32  295.97   2484.6     0.44    -0.17
             1255  168.72  296.98    225.2     0.45    -0.18
             1256  425.29  296.66     63.6     0.32    -0.05
             1257 1005.76  296.91     52.7     0.46    -0.07
             1258  480.80  297.73     64.6     0.44    -0.14
             1259  599.10  297.98    127.4     0.40    -0.11
             1260  638.74  297.52    162.4     0.39    -0.03
             1261  751.78  297.77     53.1     0.50     0.27
             1262  821.92  297.95    268.7     0.42    -0.05
             1263   73.66  298.66     80.4     0.53    -0.03
             1264  110.66  298.71     64.0     0.43     0.25
             1265  579.40  299.13    237.4     0.45    -0.34
             1266  957.24  298.37    128.8     0.48     0.14
             1267  302.44  299.84     76.1     0.64    -0.13
             1268  689.11  299.99     83.2     0.40    -0.19
             1269  738.99  299.95    158.8     0.46    -0.59
             1270  788.90  299.65   1357.8     0.48     0.05
             1271  846.24  299.95    132.2     0.45    -0.24
             1272  910.10  299.19     53.5     0.58     0.89
             1273  338.56  301.37     62.0     0.39     0.15
             1274  444.05  301.01   2643.6     0.43    -0.09
             1275  456.02  301.24   4789.3     0.41     0.06
             1276  734.04  301.24    294.9     0.41     0.06
             1277  742.84  300.99     65.8     0.51    -0.57
             1278  923.94  300.64   1458.3     0.46     0.03
             1279  331.13  301.77   1055.1     0.41    -0.12
             1280  510.68  301.92     79.2     0.34    -0.57
             1281  397.65  303.00    192.3     0.44     0.38
             1282  774.68  303.05     86.2     0.40     0.11
             1283  894.45  303.00    306.5     0.42    -0.09
             1284  932.95  303.09    121.0     0.41    -0.03
             1285   75.90  304.15     66.7     0.32    -0.07
             1286  324.45  303.90    135.7     0.46    -0.34
             1287  560.00  304.36     76.4     0.31    -0.71
             1288   94.65  305.40    280.1     0.39     0.04
             1289  249.46  304.77    225.8     0.48    -0.42
             1290  383.90  305.11     90.7     0.40     0.07
             1291  606.20  304.88     67.1     0.44    -0.37
             1292  793.97  304.98     61.6     0.36    -0.46
             1293  253.07  306.37    105.0     0.54    -0.46
             1294  316.90  305.90    150.4     0.49    -0.07
             1295  525.46  306.19    126.7     0.46    -0.42
             1296  356.80  306.58    269.3     0.50    -0.04
             1297  751.82  306.69     57.0     0.32     0.06
             1298  601.02  308.08  15741.7     0.45     0.00
             1299  616.92  308.13     76.3     0.49    -0.17
             1300  657.64  308.22    157.2     0.41    -0.04
             1301  673.76  307.80    129.8     0.42    -0.29
             1302  682.16  308.43    148.0     0.37     0.43
             1303  698.69  307.72   9802.0     0.50    -0.06
             1304  778.22  307.98    207.9     0.42     0.33
             1305  859.02  308.05     69.4     0.47    -0.28
             1306  348.18  308.98     54.5     0.60    -0.45
             1307  456.98  309.29  41857.4     0.41     0.07
             1308  530.08  309.22     57.5     0.52    -0.52
             1309  310.67  309.54    777.6     0.48    -0.03
             1310  319.65  309.62     58.7     0.51     0.18
             1311  374.95  309.82     57.1     0.24    -0.27
