xcentroid	ycentroid	sharpness	roundness1	roundness2	npix	sky	peak	flux	mag
879.28	123.70	0.45	-0.20	-0.01	25.00	0.00	210.63	3.38	-1.32
395.79	124.36	0.48	0.50	0.09	25.00	0.00	7712.26	113.85	-5.14
462.95	124.78	0.34	0.48	0.28	25.00	0.00	72.28	1.43	-0.39
745.61	124.69	0.43	0.13	-0.04	25.00	0.00	413.15	6.75	-2.07
776.13	124.94	0.44	0.03	0.04	25.00	0.00	519.28	8.66	-2.34
963.11	125.70	0.38	-0.32	0.20	25.00	0.00	119.02	1.90	-0.70
204.32	126.34	0.35	0.30	-0.15	25.00	0.00	180.72	1.96	-0.73
753.53	124.51	0.37	0.35	0.01	25.00	0.00	64.27	1.06	-0.06
427.93	126.74	0.48	0.34	0.17	25.00	0.00	190.31	2.68	-1.07
521.73	126.61	0.44	0.02	-0.04	25.00	0.00	116.57	1.89	-0.69
589.23	126.90	0.45	0.35	-0.10	25.00	0.00	323.62	4.58	-1.65
858.51	127.37	0.42	-0.01	-0.14	25.00	0.00	78.32	1.46	-0.41
930.47	127.24	0.40	0.02	-0.01	25.00	0.00	1045.92	16.06	-3.01
205.38	126.94	0.39	0.59	-0.40	25.00	0.00	125.75	1.58	-0.49
358.73	127.54	0.44	0.28	-0.31	25.00	0.00	83.69	1.07	-0.07
870.50	127.35	0.45	-0.54	0.04	25.00	0.00	1217.91	18.65	-3.18
188.66	128.93	0.46	0.60	0.32	25.00	0.00	172.22	2.05	-0.78
507.85	128.68	0.43	0.35	0.12	25.00	0.00	210.86	3.36	-1.31
705.16	129.09	0.39	0.21	0.08	25.00	0.00	215.02	3.89	-1.47
367.37	129.80	0.44	0.26	-0.03	25.00	0.00	217.97	3.47	-1.35
729.81	130.36	0.40	0.01	0.20	25.00	0.00	153.26	2.57	-1.03
105.95	131.03	0.44	-0.01	-0.25	25.00	0.00	458.83	6.07	-1.96
380.83	130.50	0.48	0.23	0.13	25.00	0.00	284.58	3.82	-1.45
553.40	131.18	0.44	0.13	-0.05	25.00	0.00	423.15	6.83	-2.09
965.38	130.88	0.44	-0.40	-0.08	25.00	0.00	650.02	10.40	-2.54
24.32	132.81	0.49	0.06	-0.33	25.00	0.00	88.40	1.12	-0.12
415.31	133.09	0.36	0.18	-0.24	25.00	0.00	275.43	3.77	-1.44
956.82	132.94	0.43	0.14	0.02	25.00	0.00	861.58	12.97	-2.78
259.43	133.37	0.63	-0.14	-0.40	25.00	0.00	101.37	1.37	-0.34
431.58	133.72	0.46	0.67	0.12	25.00	0.00	1357.52	20.11	-3.26
541.35	133.83	0.40	0.47	0.41	25.00	0.00	84.91	1.61	-0.52
817.24	133.95	0.46	0.20	0.19	25.00	0.00	71.11	1.44	-0.39
921.51	133.71	0.44	-0.40	-0.10	25.00	0.00	655.83	10.40	-2.54
575.41	134.21	0.42	0.46	0.09	25.00	0.00	66.01	1.33	-0.31
904.77	134.95	0.42	-0.01	-0.13	25.00	0.00	309.78	5.22	-1.79
949.09	134.71	0.43	-0.18	0.06	25.00	0.00	275.54	4.37	-1.60
214.77	135.97	0.44	0.21	-0.01	25.00	0.00	723.39	9.65	-2.46
608.76	135.67	0.43	0.11	0.11	25.00	0.00	474.35	7.34	-2.16
796.42	135.76	0.44	-0.20	-0.04	25.00	0.00	4459.16	72.31	-4.65
871.55	135.71	0.42	-0.08	-0.06	25.00	0.00	437.42	6.91	-2.10
38.03	136.72	0.39	-0.40	-0.02	25.00	0.00	122.45	1.61	-0.52
464.47	137.17	0.44	-0.11	-0.11	25.00	0.00	229.99	3.39	-1.33
1013.62	137.18	0.37	-0.24	-0.13	25.00	0.00	130.62	2.14	-0.82
144.58	138.48	0.37	0.13	0.05	25.00	0.00	216.31	2.99	-1.19
621.09	138.31	0.40	0.38	0.13	25.00	0.00	1560.82	25.94	-3.53
638.62	138.06	0.39	-0.44	-0.17	25.00	0.00	178.98	2.55	-1.01
129.99	139.61	0.38	0.18	0.37	25.00	0.00	78.77	1.17	-0.17
899.59	139.15	0.40	-0.34	-0.08	25.00	0.00	1085.25	17.81	-3.13
117.07	139.69	0.45	0.05	-0.06	25.00	0.00	112.75	1.31	-0.30
217.68	139.20	0.49	-0.82	0.09	25.00	0.00	106.52	1.25	-0.24
365.58	140.44	0.52	0.47	-0.03	25.00	0.00	135.91	1.99	-0.74
580.89	141.18	0.35	-0.00	0.26	25.00	0.00	47.45	1.10	-0.10
767.65	140.66	0.46	0.41	-0.07	25.00	0.00	100.62	1.53	-0.46
182.44	141.70	0.49	0.26	-0.01	25.00	0.00	407.24	5.52	-1.86
201.03	141.38	0.39	0.10	-0.06	25.00	0.00	142.32	1.78	-0.63
999.51	141.78	0.47	-0.71	-0.35	25.00	0.00	119.25	1.82	-0.65
376.69	142.82	0.48	0.24	0.04	25.00	0.00	93.84	1.36	-0.33
359.22	143.37	0.41	-0.32	-0.20	25.00	0.00	124.47	1.83	-0.65
803.45	143.68	0.43	-0.18	-0.03	25.00	0.00	102.91	1.74	-0.60
433.09	144.60	0.50	0.28	-0.74	25.00	0.00	160.07	1.72	-0.59
748.58	144.45	0.43	0.25	0.06	25.00	0.00	187.21	3.24	-1.28
207.57	145.69	0.44	0.29	0.04	25.00	0.00	103.38	1.30	-0.29
449.93	144.25	0.43	0.75	0.51	25.00	0.00	49.82	1.01	-0.01
950.98	146.39	0.38	-0.07	-0.01	25.00	0.00	91.90	1.59	-0.50
639.46	146.64	0.46	0.08	-0.02	25.00	0.00	95.50	1.61	-0.52
764.86	147.31	0.36	0.28	0.08	25.00	0.00	51.09	1.03	-0.03
775.48	146.56	0.46	-0.34	-0.04	25.00	0.00	156.48	2.56	-1.02
799.16	146.67	0.40	0.40	0.10	25.00	0.00	44.69	1.14	-0.14
873.80	147.14	0.42	-0.28	-0.02	25.00	0.00	896.67	14.40	-2.90
878.21	147.10	0.46	0.05	-0.29	25.00	0.00	198.83	2.88	-1.15
975.01	146.75	0.46	-0.20	-0.35	25.00	0.00	119.50	1.73	-0.60
979.73	146.48	0.48	0.02	0.10	25.00	0.00	176.35	2.30	-0.90
5.53	149.77	0.38	0.22	0.18	25.00	0.00	96.16	1.23	-0.23
373.79	149.18	0.43	0.32	0.28	25.00	0.00	210.30	2.94	-1.17
427.37	148.50	0.50	0.53	-0.03	25.00	0.00	6417.34	92.71	-4.92
480.40	147.80	0.45	0.71	0.33	25.00	0.00	47.85	1.09	-0.09
524.91	149.11	0.39	0.22	0.21	25.00	0.00	83.33	1.43	-0.39
660.81	149.19	0.39	0.09	0.10	25.00	0.00	1084.41	17.60	-3.11
743.07	151.12	0.21	0.32	0.18	25.00	0.00	53.83	1.01	-0.01
952.50	150.02	0.44	0.74	0.51	25.00	0.00	65.12	1.12	-0.12
64.17	151.60	0.41	-0.06	0.10	25.00	0.00	456.33	6.02	-1.95
448.45	151.24	0.45	-0.09	-0.03	25.00	0.00	253.95	3.95	-1.49
923.69	152.43	0.31	-0.54	-0.04	25.00	0.00	95.88	1.88	-0.68
347.36	152.84	0.34	-0.01	-0.22	25.00	0.00	94.71	1.80	-0.64
457.78	152.54	0.40	0.26	-0.13	25.00	0.00	49.66	1.05	-0.05
544.39	153.10	0.30	0.16	0.10	25.00	0.00	63.59	1.27	-0.26
583.28	153.11	0.41	0.04	0.44	25.00	0.00	72.59	1.21	-0.21
737.36	153.45	0.38	0.40	0.15	25.00	0.00	69.35	1.32	-0.30
746.03	153.33	0.41	0.32	0.14	25.00	0.00	290.01	4.93	-1.73
54.31	153.52	0.47	-0.79	-0.54	25.00	0.00	76.35	1.03	-0.03
194.36	153.91	0.44	0.15	-0.10	25.00	0.00	313.04	4.23	-1.57
714.16	153.65	0.42	-0.24	0.08	25.00	0.00	189.54	3.35	-1.31
910.62	154.16	0.40	-0.40	-0.05	25.00	0.00	1527.29	25.01	-3.50
963.74	154.11	0.40	0.08	-0.21	25.00	0.00	149.29	2.47	-0.98
122.41	155.06	0.37	0.26	0.08	25.00	0.00	95.01	1.11	-0.11
178.92	154.75	0.40	-0.05	-0.22	25.00	0.00	124.71	1.62	-0.52
278.77	155.06	0.49	-0.11	-0.34	25.00	0.00	162.93	2.32	-0.91
832.20	154.55	0.48	-0.16	0.11	25.00	0.00	90.69	1.66	-0.55
272.63	156.35	0.43	0.06	-0.19	25.00	0.00	132.74	1.77	-0.62
489.38	155.34	0.49	0.33	0.02	25.00	0.00	208.24	2.84	-1.13
140.70	156.55	0.45	0.38	-0.02	25.00	0.00	187.04	2.34	-0.92
255.42	156.82	0.47	0.29	0.03	25.00	0.00	229.93	3.25	-1.28
548.44	157.53	0.48	0.22	-0.05	25.00	0.00	80.56	1.42	-0.38
261.26	157.38	0.47	0.17	-0.35	25.00	0.00	81.49	1.06	-0.07
579.42	157.29	0.28	-0.74	-0.03	25.00	0.00	49.54	1.08	-0.09
652.00	157.57	0.47	0.25	0.09	25.00	0.00	5783.93	93.75	-4.93
737.54	157.56	0.41	-0.37	-0.01	25.00	0.00	50.96	1.07	-0.08
812.04	157.72	0.45	0.04	-0.05	25.00	0.00	302.78	5.15	-1.78
271.34	159.19	0.36	0.45	0.06	25.00	0.00	261.63	3.36	-1.32
234.26	160.03	0.49	0.10	-0.09	25.00	0.00	225.52	3.05	-1.21
475.96	159.39	0.38	0.36	0.15	25.00	0.00	66.10	1.37	-0.34
536.10	159.85	0.45	-0.21	0.30	25.00	0.00	54.06	1.03	-0.03
413.77	161.20	0.48	0.33	-0.10	25.00	0.00	235.75	3.27	-1.29
897.52	161.27	0.40	-0.05	0.04	25.00	0.00	204.95	3.37	-1.32
204.91	162.09	0.38	0.20	-0.11	25.00	0.00	149.32	1.92	-0.71
251.19	162.01	0.53	-0.21	-0.03	25.00	0.00	83.27	1.01	-0.02
280.58	162.90	0.39	0.01	0.01	25.00	0.00	208.02	3.10	-1.23
547.68	162.27	0.37	-0.25	-0.04	25.00	0.00	48.91	1.04	-0.04
678.39	163.50	0.36	-0.41	-0.14	25.00	0.00	118.80	1.73	-0.59
44.99	163.24	0.41	-0.27	-0.10	25.00	0.00	116.70	1.53	-0.46
586.84	163.01	0.55	0.34	-0.17	25.00	0.00	68.75	1.03	-0.03
33.44	165.14	0.39	0.32	-0.27	25.00	0.00	197.30	2.56	-1.02
145.24	165.49	0.40	-0.01	0.03	25.00	0.00	486.99	6.78	-2.08
199.20	164.14	0.51	0.58	0.16	25.00	0.00	278.06	2.87	-1.14
802.58	165.06	0.39	-0.31	-0.15	25.00	0.00	115.35	2.01	-0.76
885.34	165.09	0.43	-0.33	-0.03	25.00	0.00	101.37	1.95	-0.73
59.34	167.29	0.34	-0.16	-0.05	25.00	0.00	71.01	1.06	-0.07
173.03	167.06	0.43	-0.79	-0.51	25.00	0.00	176.49	1.89	-0.69
178.57	166.45	0.48	0.05	-0.07	25.00	0.00	226.94	2.77	-1.11
744.75	167.08	0.36	0.07	0.11	25.00	0.00	278.80	4.46	-1.62
268.85	168.21	0.28	-0.28	-0.25	25.00	0.00	84.03	1.27	-0.26
497.14	168.99	0.42	0.47	0.28	25.00	0.00	78.45	1.44	-0.39
812.14	169.20	0.42	0.03	0.06	25.00	0.00	12143.36	203.67	-5.77
291.92	170.47	0.37	0.48	0.07	25.00	0.00	93.81	1.50	-0.44
622.34	169.44	0.42	0.05	0.10	25.00	0.00	242.66	3.98	-1.50
835.18	170.29	0.41	-0.11	-0.02	25.00	0.00	704.55	11.27	-2.63
459.55	170.70	0.48	0.42	-0.01	25.00	0.00	815.69	12.47	-2.74
466.82	171.96	0.36	-0.11	0.63	25.00	0.00	58.67	1.05	-0.05
870.08	170.47	0.46	0.03	0.29	25.00	0.00	71.89	1.38	-0.35
931.28	171.70	0.35	0.51	0.32	25.00	0.00	73.30	1.35	-0.33
265.70	170.99	0.46	0.16	0.63	25.00	0.00	90.88	1.30	-0.29
331.70	172.04	0.36	0.54	-0.09	25.00	0.00	110.53	1.61	-0.52
679.26	172.23	0.41	0.30	0.06	25.00	0.00	6730.25	112.55	-5.13
819.99	172.67	0.44	-0.12	0.03	25.00	0.00	174.12	3.02	-1.20
442.47	173.28	0.45	0.56	0.04	25.00	0.00	121.68	1.76	-0.61
79.28	175.37	0.43	0.34	0.28	25.00	0.00	99.54	1.21	-0.21
358.48	174.69	0.45	0.07	-0.01	25.00	0.00	58.10	1.11	-0.12
701.26	175.16	0.38	0.28	-0.19	25.00	0.00	440.13	6.20	-1.98
584.87	176.35	0.56	0.63	0.81	25.00	0.00	52.64	1.06	-0.06
695.43	175.75	0.45	0.22	-0.08	25.00	0.00	15189.72	243.12	-5.96
139.43	176.87	0.48	0.39	-0.01	25.00	0.00	320.50	4.02	-1.51
321.89	177.44	0.45	0.33	0.13	25.00	0.00	144.82	1.97	-0.73
340.18	176.17	0.33	-0.31	0.16	25.00	0.00	74.96	1.21	-0.21
348.88	176.66	0.46	0.30	-0.09	25.00	0.00	445.27	6.74	-2.07
21.93	177.92	0.35	0.34	0.06	25.00	0.00	934.33	11.70	-2.67
482.27	177.96	0.39	0.49	-0.03	25.00	0.00	153.01	2.52	-1.00
866.19	178.14	0.42	-0.38	-0.13	25.00	0.00	52.90	1.05	-0.05
1006.50	177.80	0.44	-0.52	-0.18	25.00	0.00	147.59	2.35	-0.93
493.61	178.53	0.47	-0.08	-0.02	25.00	0.00	118.69	2.03	-0.77
509.68	179.39	0.42	0.16	0.11	25.00	0.00	5799.65	92.93	-4.92
677.98	178.95	0.43	0.22	0.08	25.00	0.00	407.39	6.74	-2.07
735.64	178.45	0.46	0.11	-0.05	25.00	0.00	53.09	1.04	-0.05
196.84	180.24	0.40	0.25	-0.02	25.00	0.00	128.81	1.81	-0.65
401.89	180.94	0.45	0.38	-0.02	25.00	0.00	7009.61	109.86	-5.10
786.23	181.06	0.43	0.01	0.00	25.00	0.00	6702.63	112.57	-5.13
870.53	180.96	0.43	-0.21	-0.16	25.00	0.00	789.05	13.09	-2.79
997.26	180.68	0.46	-0.75	0.21	25.00	0.00	69.11	1.13	-0.14
718.91	183.32	0.42	-0.00	0.07	25.00	0.00	774.31	13.33	-2.81
760.94	183.05	0.42	-0.33	-0.16	25.00	0.00	81.51	1.63	-0.53
767.66	182.93	0.48	0.34	-0.04	25.00	0.00	125.16	2.26	-0.88
831.57	182.63	0.44	-0.48	-0.10	25.00	0.00	789.85	12.78	-2.77
127.64	183.88	0.43	0.18	-0.08	25.00	0.00	5571.60	80.04	-4.76
414.17	183.77	0.44	-0.13	-0.01	25.00	0.00	464.38	6.37	-2.01
642.18	183.95	0.43	-0.16	-0.13	25.00	0.00	108.81	1.86	-0.68
523.87	185.05	0.33	-0.38	-0.39	25.00	0.00	92.00	1.45	-0.40
879.52	184.72	0.45	-0.45	-0.10	25.00	0.00	498.14	8.21	-2.29
940.72	184.95	0.46	-0.84	-0.15	25.00	0.00	61.60	1.07	-0.08
244.42	185.48	0.48	-0.05	-0.32	25.00	0.00	242.27	2.93	-1.17
277.07	185.64	0.45	0.31	-0.33	25.00	0.00	77.14	1.00	-0.00
283.16	185.93	0.47	0.07	-0.03	25.00	0.00	115.86	1.58	-0.50
331.46	186.14	0.35	0.52	-0.09	25.00	0.00	162.20	2.16	-0.84
363.73	185.33	0.48	0.47	0.14	25.00	0.00	1185.23	16.13	-3.02
244.53	186.28	0.50	0.70	-0.84	25.00	0.00	133.66	1.37	-0.34
899.00	186.79	0.42	-0.97	0.12	25.00	0.00	58.28	1.11	-0.11
157.42	188.03	0.50	0.16	0.16	25.00	0.00	162.33	2.04	-0.77
305.66	187.78	0.47	0.26	-0.11	25.00	0.00	162.51	2.18	-0.85
398.71	187.43	0.49	0.29	0.07	25.00	0.00	1016.06	14.68	-2.92
652.82	187.40	0.44	0.12	0.36	25.00	0.00	57.24	1.04	-0.04
340.30	188.33	0.43	-0.25	0.13	25.00	0.00	132.83	1.98	-0.74
659.97	188.85	0.45	0.39	0.10	25.00	0.00	248.69	4.37	-1.60
573.45	189.59	0.47	0.50	-0.02	25.00	0.00	841.70	13.50	-2.83
914.63	189.46	0.45	-0.57	-0.09	25.00	0.00	1260.00	19.74	-3.24
678.09	191.30	0.42	0.27	0.10	25.00	0.00	3172.98	53.66	-4.32
803.33	191.40	0.43	-0.04	0.12	25.00	0.00	230.43	3.83	-1.46
555.21	191.84	0.48	-0.50	0.11	25.00	0.00	53.26	1.04	-0.04
987.98	191.51	0.40	-0.11	0.14	25.00	0.00	140.87	2.38	-0.94
49.89	193.13	0.44	0.24	0.25	25.00	0.00	96.92	1.14	-0.14
159.52	193.95	0.43	0.22	0.11	25.00	0.00	110.27	1.46	-0.41
475.03	193.60	0.44	0.01	-0.54	25.00	0.00	70.50	1.30	-0.28
735.55	194.02	0.41	-0.57	-0.18	25.00	0.00	95.92	1.87	-0.68
23.80	195.43	0.35	0.32	-0.11	25.00	0.00	110.69	1.64	-0.53
215.30	195.14	0.37	0.67	-0.25	25.00	0.00	212.15	2.23	-0.87
566.67	196.12	0.41	-0.02	0.03	25.00	0.00	158.36	2.85	-1.14
711.25	196.01	0.44	0.05	-0.07	25.00	0.00	334.61	5.69	-1.89
865.83	195.72	0.46	-0.37	-0.11	25.00	0.00	101.63	1.70	-0.57
1002.40	195.56	0.46	-0.06	-0.32	25.00	0.00	94.00	1.46	-0.41
45.92	195.99	0.26	-0.30	-0.11	25.00	0.00	80.54	1.06	-0.07
269.02	196.72	0.45	-0.19	-0.51	25.00	0.00	63.09	1.05	-0.06
344.80	196.46	0.38	0.21	0.00	25.00	0.00	232.22	3.59	-1.39
951.92	196.73	0.41	-0.24	-0.13	25.00	0.00	158.78	2.50	-0.99
517.38	198.39	0.39	0.25	0.19	25.00	0.00	64.93	1.11	-0.11
545.89	198.19	0.37	0.27	0.67	25.00	0.00	70.57	1.14	-0.14
194.24	198.79	0.40	0.03	-0.16	25.00	0.00	191.80	2.85	-1.14
326.75	199.13	0.31	0.89	0.49	25.00	0.00	61.02	1.01	-0.01
935.64	199.15	0.41	-0.20	-0.14	25.00	0.00	703.90	11.28	-2.63
479.74	199.46	0.49	0.49	0.00	25.00	0.00	216.44	3.59	-1.39
492.54	199.80	0.44	0.10	-0.06	25.00	0.00	95.68	1.46	-0.41
558.52	199.82	0.34	0.58	-0.40	25.00	0.00	49.70	1.02	-0.02
651.95	200.59	0.42	-0.32	0.15	25.00	0.00	94.71	1.73	-0.59
661.41	199.94	0.44	0.16	-0.11	25.00	0.00	355.19	5.56	-1.86
668.93	199.46	0.43	0.03	0.15	25.00	0.00	103.67	1.67	-0.56
675.30	200.34	0.44	0.09	-0.15	25.00	0.00	79.15	1.25	-0.24
730.95	199.94	0.42	-0.60	-0.14	25.00	0.00	81.04	1.51	-0.45
995.84	200.25	0.44	-0.88	-0.25	25.00	0.00	132.43	2.12	-0.82
349.74	201.48	0.38	0.45	-0.25	25.00	0.00	73.34	1.16	-0.16
372.04	201.17	0.42	0.26	-0.07	25.00	0.00	633.88	9.28	-2.42
434.89	200.65	0.37	0.02	0.14	25.00	0.00	61.80	1.11	-0.12
537.23	200.71	0.39	-0.17	-0.06	25.00	0.00	108.99	1.80	-0.64
694.72	201.28	0.46	-0.94	0.28	25.00	0.00	73.01	1.18	-0.18
85.23	202.04	0.44	0.05	-0.16	25.00	0.00	419.63	4.79	-1.70
250.88	201.77	0.42	-0.14	-0.19	25.00	0.00	171.77	2.23	-0.87
841.75	201.86	0.41	0.01	-0.07	25.00	0.00	80.59	1.30	-0.29
15.73	202.51	0.40	-0.07	-0.09	25.00	0.00	716.65	9.26	-2.42
278.47	203.56	0.42	0.49	0.07	25.00	0.00	75.55	1.01	-0.01
449.85	203.39	0.35	-0.35	-0.15	25.00	0.00	46.04	1.01	-0.01
642.97	202.76	0.44	0.09	0.05	25.00	0.00	388.25	6.02	-1.95
87.69	203.42	0.49	0.25	-0.32	25.00	0.00	211.27	2.42	-0.96
609.29	203.96	0.40	-0.12	0.06	25.00	0.00	330.39	5.25	-1.80
168.10	205.22	0.46	0.18	0.04	25.00	0.00	143.10	1.54	-0.47
566.37	204.82	0.46	-0.04	-0.13	25.00	0.00	347.82	5.14	-1.78
693.92	204.81	0.47	0.28	0.34	25.00	0.00	116.51	1.84	-0.66
458.14	205.48	0.46	-0.45	-0.07	25.00	0.00	46.70	1.01	-0.01
704.54	206.32	0.36	-0.17	-0.04	25.00	0.00	81.51	1.48	-0.42
769.43	206.80	0.43	-0.17	-0.01	25.00	0.00	173.71	2.84	-1.13
184.94	207.58	0.47	0.17	-0.17	25.00	0.00	314.10	4.00	-1.50
246.38	207.94	0.38	0.15	-0.27	25.00	0.00	88.02	1.12	-0.12
408.17	208.45	0.37	0.17	-0.12	25.00	0.00	93.05	1.41	-0.37
424.18	209.27	0.39	0.25	0.07	25.00	0.00	109.78	1.82	-0.65
548.54	208.66	0.51	0.06	0.08	25.00	0.00	167.16	2.47	-0.98
640.00	209.08	0.39	-0.14	0.37	25.00	0.00	105.28	1.87	-0.68
664.64	208.75	0.40	0.19	0.21	25.00	0.00	195.67	3.08	-1.22
695.79	209.96	0.38	-0.33	-0.10	25.00	0.00	145.98	2.38	-0.94
757.32	209.82	0.46	-0.07	-0.05	25.00	0.00	9581.95	160.39	-5.51
600.66	210.63	0.40	-0.40	0.54	25.00	0.00	44.92	1.02	-0.02
731.66	211.51	0.34	-0.26	0.39	25.00	0.00	50.89	1.07	-0.07
667.98	212.65	0.46	-0.76	-0.05	25.00	0.00	49.03	1.00	-0.00
265.99	212.93	0.37	0.12	-0.23	25.00	0.00	100.68	1.44	-0.40
569.78	212.61	0.45	0.20	0.16	25.00	0.00	1140.87	17.28	-3.09
148.49	213.93	0.46	-0.34	-0.06	25.00	0.00	255.73	3.21	-1.27
177.34	213.58	0.43	-0.01	-0.16	25.00	0.00	84.28	1.09	-0.09
477.07	213.40	0.38	-0.03	0.16	25.00	0.00	85.73	1.65	-0.55
614.22	213.81	0.45	0.22	-0.02	25.00	0.00	187.07	2.80	-1.12
95.26	215.19	0.45	-0.27	-0.05	25.00	0.00	89.52	1.08	-0.08
641.25	215.08	0.40	0.28	0.02	25.00	0.00	513.68	8.07	-2.27
172.88	215.77	0.45	0.05	0.21	25.00	0.00	133.70	1.31	-0.29
198.78	215.80	0.51	-0.20	-0.83	25.00	0.00	89.34	1.10	-0.11
344.90	216.69	0.51	0.20	0.16	25.00	0.00	253.90	3.02	-1.20
775.93	216.65	0.38	-0.60	-0.29	25.00	0.00	84.09	1.50	-0.44
978.64	215.86	0.43	-0.84	0.13	25.00	0.00	55.78	1.10	-0.10
269.94	218.08	0.20	-0.42	-0.63	25.00	0.00	92.76	1.00	-0.00
272.81	217.89	0.34	-0.46	-0.62	25.00	0.00	108.42	1.36	-0.33
426.44	217.91	0.38	0.61	-0.25	25.00	0.00	112.61	1.60	-0.51
822.12	217.55	0.44	-0.56	-0.13	25.00	0.00	111.19	1.57	-0.49
952.20	218.24	0.43	-0.18	-0.08	25.00	0.00	225.70	3.77	-1.44
304.50	219.12	0.34	0.43	0.24	25.00	0.00	83.14	1.27	-0.26
475.49	219.53	0.49	0.99	0.04	25.00	0.00	60.69	1.04	-0.04
260.27	220.11	0.46	0.04	-0.11	25.00	0.00	498.33	7.20	-2.14
433.02	219.96	0.38	0.20	-0.19	25.00	0.00	171.04	2.81	-1.12
696.75	219.68	0.43	0.20	0.01	25.00	0.00	788.50	12.00	-2.70
177.75	221.36	0.43	0.15	-0.11	25.00	0.00	242.62	3.34	-1.31
439.79	221.08	0.44	0.21	0.01	25.00	0.00	637.20	10.20	-2.52
605.25	220.22	0.44	-0.04	0.16	25.00	0.00	127.13	2.05	-0.78
221.74	221.53	0.45	-0.72	-0.43	25.00	0.00	391.16	4.66	-1.67
277.80	222.41	0.39	0.81	0.20	25.00	0.00	114.88	1.58	-0.50
615.44	221.95	0.42	0.01	-0.15	25.00	0.00	270.98	4.17	-1.55
170.59	222.94	0.45	0.19	-0.08	25.00	0.00	1158.73	16.62	-3.05
384.92	222.44	0.44	-0.09	-0.21	25.00	0.00	82.02	1.53	-0.46
611.44	223.16	0.44	-0.10	0.27	25.00	0.00	232.71	3.56	-1.38
22.80	224.62	0.44	0.05	-0.06	25.00	0.00	111.64	1.39	-0.36
114.43	224.55	0.46	-0.13	-0.47	25.00	0.00	167.42	1.88	-0.68
464.43	224.88	0.32	-0.23	-0.29	25.00	0.00	126.50	1.82	-0.65
543.90	225.44	0.45	0.36	0.36	25.00	0.00	54.18	1.04	-0.04
645.47	225.32	0.44	-0.19	-0.02	25.00	0.00	768.70	12.54	-2.75
271.82	225.58	0.48	0.16	-0.04	25.00	0.00	274.56	3.60	-1.39
423.02	225.72	0.44	0.23	-0.09	25.00	0.00	201.56	3.11	-1.23
861.40	225.76	0.44	-0.81	0.02	25.00	0.00	56.54	1.04	-0.05
902.23	226.21	0.41	-0.07	-0.04	25.00	0.00	222.98	3.79	-1.45
905.17	225.93	0.45	0.02	-0.69	25.00	0.00	59.93	1.10	-0.10
438.80	226.77	0.45	0.17	-0.03	25.00	0.00	277.24	4.35	-1.60
471.14	226.71	0.42	-0.15	-0.38	25.00	0.00	104.61	1.70	-0.57
791.28	227.37	0.46	0.34	-0.03	25.00	0.00	155.89	2.69	-1.07
178.09	228.15	0.45	0.21	0.08	25.00	0.00	128.66	1.72	-0.59
305.38	227.78	0.42	-0.10	0.20	25.00	0.00	98.42	1.41	-0.38
591.26	227.62	0.46	0.03	0.07	25.00	0.00	198.91	3.20	-1.26
802.54	228.29	0.40	0.69	0.09	25.00	0.00	50.13	1.07	-0.08
822.15	228.60	0.34	0.52	0.01	25.00	0.00	64.00	1.20	-0.20
991.61	227.93	0.39	-0.21	0.01	25.00	0.00	110.15	2.00	-0.75
917.60	229.15	0.41	-0.46	-0.04	25.00	0.00	140.71	2.51	-1.00
340.13	229.74	0.42	0.34	-0.09	25.00	0.00	983.65	14.15	-2.88
373.84	229.95	0.47	0.26	-0.07	25.00	0.00	361.41	5.69	-1.89
516.96	230.20	0.39	0.23	0.14	25.00	0.00	2104.92	32.83	-3.79
567.60	230.39	0.44	-0.12	0.05	25.00	0.00	545.45	8.80	-2.36
956.45	230.22	0.44	-0.05	-0.28	25.00	0.00	131.88	2.16	-0.84
617.48	231.08	0.41	0.60	0.07	25.00	0.00	65.51	1.16	-0.17
950.70	231.16	0.40	-0.55	-0.09	25.00	0.00	738.52	11.94	-2.69
550.62	232.25	0.43	-0.01	0.04	25.00	0.00	490.87	8.32	-2.30
601.83	231.62	0.52	0.09	0.03	25.00	0.00	144.09	2.34	-0.92
378.38	232.63	0.33	-0.29	-0.23	25.00	0.00	48.87	1.15	-0.15
507.39	233.19	0.44	-0.09	-0.08	25.00	0.00	2178.84	35.20	-3.87
848.61	232.89	0.46	-0.32	0.11	25.00	0.00	69.66	1.35	-0.33
48.07	233.86	0.43	0.06	0.64	25.00	0.00	87.77	1.04	-0.04
277.99	233.41	0.42	-0.26	-0.56	25.00	0.00	95.65	1.24	-0.24
307.82	233.57	0.49	0.30	0.00	25.00	0.00	351.18	5.03	-1.75
644.22	234.15	0.42	0.57	-0.04	25.00	0.00	166.63	2.56	-1.02
700.38	234.34	0.39	0.28	0.10	25.00	0.00	367.83	5.99	-1.94
760.66	233.61	0.44	-0.83	-0.19	25.00	0.00	54.66	1.21	-0.21
887.23	235.42	0.39	0.01	0.06	25.00	0.00	695.40	11.28	-2.63
935.37	235.22	0.40	0.27	-0.63	25.00	0.00	62.12	1.25	-0.24
10.45	235.85	0.43	0.21	-0.28	25.00	0.00	82.07	1.00	-0.00
494.77	236.49	0.47	0.38	0.14	25.00	0.00	144.76	2.21	-0.86
873.55	237.29	0.39	-0.78	-0.28	25.00	0.00	55.78	1.09	-0.09
